Timestamp,Status,Gen,Fitness,PnL,WinRate,PF,Sharpe,MaxDD,Trades,MutRate,TP,SL,Risk,Cooldown,Conf,TimeSec
2026-05-21 10:26:59,UPDATE,63,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.74
2026-05-21 10:33:51,UPDATE,64,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.01
2026-05-21 10:40:46,UPDATE,65,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,415.05
2026-05-21 10:47:39,UPDATE,66,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,413.35
2026-05-21 10:54:52,UPDATE,67,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,432.25
2026-05-21 11:01:48,UPDATE,68,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,416.49
2026-05-21 11:08:42,UPDATE,69,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.28
2026-05-21 11:15:36,UPDATE,70,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.27
2026-05-21 11:22:33,UPDATE,71,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,416.91
2026-05-21 11:29:26,UPDATE,72,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.13
2026-05-21 11:36:18,UPDATE,73,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.38
2026-05-21 11:43:10,UPDATE,74,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.15
2026-05-21 11:50:02,UPDATE,75,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,411.72
2026-05-21 11:57:11,UPDATE,76,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,429.15
2026-05-21 12:04:08,UPDATE,77,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,417.14
2026-05-21 12:11:03,UPDATE,78,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.34
2026-05-21 12:17:55,UPDATE,79,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.51
2026-05-21 12:24:49,UPDATE,80,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.13
2026-05-21 12:31:41,UPDATE,81,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.14
2026-05-21 12:38:34,UPDATE,82,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.36
2026-05-21 12:45:26,UPDATE,83,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.26
2026-05-21 12:52:16,UPDATE,84,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,409.60
2026-05-21 12:59:27,UPDATE,85,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,431.54
2026-05-21 13:06:24,UPDATE,86,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,417.32
2026-05-21 13:13:20,UPDATE,87,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,415.50
2026-05-21 13:20:17,UPDATE,88,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,417.28
2026-05-21 13:27:12,UPDATE,89,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.93
2026-05-21 13:34:05,UPDATE,90,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.66
2026-05-21 13:40:59,UPDATE,91,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.23
2026-05-21 13:47:54,UPDATE,92,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.97
2026-05-21 13:54:46,UPDATE,93,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,412.48
2026-05-21 14:01:58,UPDATE,94,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,431.85
2026-05-21 14:08:54,UPDATE,95,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,415.52
2026-05-21 14:15:47,UPDATE,96,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.43
2026-05-21 14:22:39,UPDATE,97,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.01
2026-05-21 14:29:31,UPDATE,98,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,412.06
2026-05-21 14:36:25,UPDATE,99,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.69
2026-05-21 14:43:18,UPDATE,100,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,413.42
2026-05-21 14:50:13,UPDATE,101,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.23
2026-05-21 14:57:06,UPDATE,102,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,412.96
2026-05-21 15:04:16,UPDATE,103,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,430.73
